単語,出現回数
もうしこみ,11706
きぼ,11701
ぎょうむ,11695
ていきょう,11684
こうせい,11681
ひがい,11656
おおさか,11572
いく,11564
ほうこう,11555
へんこう,11553
ぎゃく,11544
きんゆう,11508
ば,11470
そうごう,11372
かんれん,11298
けんさ,11250
ちりょう,11234
ことし,11233
ようす,11199
しきん,11181
おんがく,11143
せいちょう,11142
つもり,11138
こうれい,11115
とくてい,11057
つま,11054
はじめ,11027
ろん,11009
せっち,11004
ほうそう,11000
かぎり,10994
おっと,10975
ふらんす,10957
そち,10955
いこう,10953
こうにゅう,10934
じんせい,10931
ぽいんと,10919
あんてい,10916
しょう,10912
ついたち,10883
かち,10877
しょうねん,10871
だんかい,10804
ほーむ,10790
うみ,10759
きけん,10736
しゅ,10733
みぎ,10669
してき,10614
とうろく,10609
ふ,10600
みずから,10557
しょくじ,10503
ほてる,10503
けいさん,10473
あす,10454
うごき,10433
ふあん,10386
かず,10379
さいこう,10367
きろく,10306
いっぽう,10294
むり,10276
さんこう,10241
さつえい,10234
ねんれい,10222
どりょく,10214
こうこう,10210
ぶろぐ,10205
りえき,10194
はってん,10149
はん,10122
くりっく,10084
しんたい,10068
かんとく,10056
こうきょう,10054
うんてん,10045
はっぴょう,10032
ぐるーぷ,10000
くび,9988
かいさい,9979
かいぜん,9962
な,9957
はんたい,9932
えねるぎー,9930
かいし,9898
かくほ,9884
たんとう,9868
さんしょう,9843
けっきょく,9833
こうえん,9819
ぜんぶ,9803
かくだい,9784
たちば,9746
じゅうみん,9741
ぜん,9695
のうぎょう,9681
しゅじん,9669
かいご,9666
はっけん,9657
かいかく,9637
むね,9637
きょうどう,9633
かいけつ,9610
たいけん,9610
もくひょう,9550
ちょうせい,9547
たいぷ,9514
どうぶつ,9483
なつ,9481
かこ,9475
かんがえ,9467
やくわり,9464
げんしょう,9450
くろ,9446
ばい,9441
かいとう,9421
どる,9411
たいせい,9396
りょこう,9390
しけん,9387
へいきん,9375
しゅうかん,9354
びょうき,9340
しょとく,9339
どいつ,9324
てんかい,9312
あっぷ,9303
じゅんび,9297
ははおや,9291
しょうらい,9245
はんい,9233
うた,9230
じつげん,9197
いめーじ,9181
ちく,9154
べんきょう,9154
めいじ,9154
たがい,9152
ちしき,9140
ゆうじん,9139
しほん,9118
みみ,9105
わり,9094
といあわせ,9072
しろ,9071
きぼう,9070
せんちめーとる,9060
