単語,出現回数
こと,740949
いち,507548
に,402327
さん,312292
じゅう,306226
もの,276332
ねん,246629
ご,232128
よん,212748
とき,162023
ろく,158484
にじゅう,157169
ひと,156890
ため,152779
がつ,152090
はち,148055
なな,131055
きゅう,129710
なか,116641
せん,112555
じぶん,111079
ところ,108040
さんじゅう,105909
れい,104568
ほう,96578
ばあい,96315
いま,95114
てん,89317
にち,87635
ごじゅう,81259
まえ,80181
えん,76926
まん,76503
きゅうひゃく,73149
わけ,73097
じ,72986
ひゃく,72617
もんだい,71479
ひつよう,70606
じかん,67857
よんじゅう,67244
あと,63979
ぱーせんと,63392
かい,61475
こども,59470
ひ,59198
き,58440
かんけい,57596
ろくじゅう,54794
め,54781
きゅうじゅう,54476
ど,54088
うえ,50903
し,50766
はちじゅう,49505
しゃかい,48979
はなし,48837
て,47213
いじょう,46675
じぎょう,46516
うち,45175
みな,44925
ななじゅう,44469
せかい,42934
ほか,42896
にんげん,42617
にせん,42567
つぎ,42491
せいかつ,42165
かいしゃ,41167
じょう,40277
おとこ,40130
けんきゅう,39871
ちいき,39652
かお,39604
じょうほう,39386
いみ,39279
まま,39019
ず,38903
ことば,38490
くに,38303
けん,38132
がっこう,38116
あいだ,38094
しごと,37646
ひとり,37071
きぎょう,36662
ふん,36200
にひゃく,36086
いいん,35454
じだい,35357
りよう,35354
きょう,35121
ほんとう,35074
ふたり,34272
すべて,34157
こえ,34120
げんざい,34006
いえ,33587
ほうほう,33321
けいざい,33251
べつ,33053
じょせい,32996
ころ,32332
とおり,32098
とも,32042
た,32034
こころ,31987
ねんど,31877
かつどう,31440
なん,30868
かんきょう,30685
ぶ,30479
さき,29701
こ,29535
でんわ,29494
けっか,29482
ちょうさ,29467
あいて,28953
じょうきょう,28468
おんな,27800
きょういく,27757
ち,27625
けいかく,27588
ぎじゅつ,27587
だいがく,27103
せんせい,26992
ないよう,26647
しゃしん,26592
ほけん,26042
ごう,25998
ばしょ,25943
はず,25475
だい,25457
じょうたい,25389
いっぱん,25347
ごひゃく,25106
しよう,25103
ぶぶん,24795
せいふ,24759
はっぴゃく,24723
ぺーじ,24642
ろうどう,24539
ふた,24365
せいど,24257
たいしょう,24238
そんざい,24112
かいはつ,24083
きもち,23768
きほん,23672
さんびゃく,23594
きてい,23512
からだ,23450
あたま,23423
しつもん,23407
こう,23379
せつめい,23376
みず,23153
じっし,22871
ひょう,22851
しせつ,22562
ほとんど,22554
ちほう,22248
いっしょ,22245
かんり,22134
さんか,21872
くるま,21623
くち,21514
さいきん,21299
かたち,21282
じけん,21188
こくみん,21037
おく,21012
ていど,20968
